Umrechnung avg;category AVG;category HR;Value HR;HR;Number of Players;avg (Partition) 2;avg (Partition);avg;handedness;height (Partition);height;Group Top 100 AVG;Group Top 10 HR;Group Top 100 HR;Group Top 10 AVG;name;weight (Partition);weight
25,1;Normal;Normal;0-29;5;1;0.240 - 0.259;0.24;0,251;both;69.30;71;Andere;Andere;Andere;Albert Hall;Albert Hall;152;155
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Albert Williams;Albert Williams;184;190
28,8;Top;Normal;60-89;78;1;0.280 - 0.299;0.28;0,288;right;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Alex Johnson;Alex Johnson;200;205
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;74;Andere;Andere;Andere;Alex Sanchez;Alex Sanchez;184;185
24,9;Normal;Normal;0-29;23;1;0.240 - 0.259;0.24;0,249;right;69.30;70;Andere;Andere;Andere;Alex Trevino;Alex Trevino;160;165
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Alfredo Martinez;Alfredo Martinez;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;70;Andere;Andere;Andere;Allan Ramirez;Allan Ramirez;176;180
27,7;Top;Top;180-209;193;1;0.260 - 0.279;0.26;0,277;right;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Amos Otis;Amos Otis;160;165
25,1;Normal;Normal;0-29;5;1;0.240 - 0.259;0.24;0,251;right;69.30;70;Andere;Andere;Andere;Andre Robertson;Andre Robertson;152;155
25,4;Normal;Top;240-269;253;1;0.240 - 0.259;0.24;0,254;right;73.26;75;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Andre Thornton;Andre Thornton;200;200
22,3;Normal;Normal;0-29;27;1;0.220 - 0.239;0.22;0,223;right;71.28;72;Andere;Andere;Andere;Andres Mora;Andres Mora;176;180
23,4;Normal;Normal;30-59;42;1;0.220 - 0.239;0.22;0,234;right;71.28;73;Andere;Andere;Andere;Andres Thomas;Andres Thomas;168;170
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Andy Beene;Andy Beene;200;205
23,5;Normal;Normal;30-59;49;1;0.220 - 0.239;0.22;0,235;right;71.28;73;Andere;Andere;Andere;Andy Etchebarren;Andy Etchebarren;184;190
23,6;Normal;Normal;60-89;73;1;0.220 - 0.239;0.22;0,236;right;73.26;75;Andere;Andere;Andere;Andy Kosco;Andy Kosco;200;205
17;Normal;Normal;0-29;5;1;0.160 - 0.179;0.16;0,17;right;71.28;73;Andere;Andere;Andere;Andy Messersmith;Andy Messersmith;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;77;Andere;Andere;Andere;Andy Replogle;Andy Replogle;200;205
24,5;Normal;Normal;0-29;22;1;0.240 - 0.259;0.24;0,245;right;69.30;70;Andere;Andere;Andere;Angel Mangual;Angel Mangual;176;178
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;67.32;69;Andere;Andere;Andere;Angel Moreno;Angel Moreno;160;165
21,2;Normal;Normal;0-29;2;1;0.200 - 0.219;0.20;0,212;right;71.28;72;Andere;Andere;Andere;Angel Salazar;Angel Salazar;176;180
26;Normal;Normal;30-59;43;1;0.260 - 0.279;0.26;0,26;right;73.26;74;Andere;Andere;Andere;Art Howe;Art Howe;184;190
25,3;Normal;Normal;60-89;68;1;0.240 - 0.259;0.24;0,253;left;71.28;73;Andere;Andere;Andere;Art Shamsky;Art Shamsky;168;168
23,7;Normal;Normal;120-149;124;1;0.220 - 0.239;0.22;0,237;right;69.30;70;Andere;Andere;Andere;Aurelio Rodriguez;Aurelio Rodriguez;176;180
26,7;Normal;Normal;0-29;11;1;0.260 - 0.279;0.26;0,267;right;69.30;70;Andere;Andere;Andere;Barbaro Garbey;Barbaro Garbey;168;170
27,2;Normal;Normal;30-59;56;1;0.260 - 0.279;0.26;0,272;right;73.26;75;Andere;Andere;Andere;Barry Bonnell;Barry Bonnell;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;77;Andere;Andere;Andere;Barry Cort;Barry Cort;208;210
25,1;Normal;Normal;0-29;2;1;0.240 - 0.259;0.24;0,251;right;71.28;73;Andere;Andere;Andere;Barry Evans;Barry Evans;176;180
23;Normal;Normal;30-59;57;1;0.220 - 0.239;0.22;0,23;right;73.26;75;Andere;Andere;Andere;Barry Foote;Barry Foote;200;205
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;both;69.30;70;Andere;Andere;Andere;Barry Raziano;Barry Raziano;168;175
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;77.22;79;Andere;Andere;Andere;Ben Callahan;Ben Callahan;224;230
27,3;Normal;Top;210-239;235;1;0.260 - 0.279;0.26;0,273;left;73.26;74;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Ben Oglivie;Ben Oglivie;160;160
25,1;Normal;Normal;30-59;38;1;0.240 - 0.259;0.24;0,251;right;71.28;73;Andere;Andere;Andere;Benny Ayala;Benny Ayala;184;185
23,9;Normal;Normal;60-89;73;1;0.220 - 0.239;0.22;0,239;left;71.28;72;Andere;Andere;Andere;Bernie Allen;Bernie Allen;168;175
26,4;Normal;Normal;90-119;96;1;0.260 - 0.279;0.26;0,264;left;69.30;71;Andere;Andere;Andere;Bernie Carbo;Bernie Carbo;168;173
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;both;71.28;73;Andere;Andere;Andere;Bert Bradley;Bert Bradley;184;190
25,9;Normal;Normal;60-89;79;1;0.240 - 0.259;0.24;0,259;right;69.30;70;Andere;Andere;Andere;Bert Campaneris;Bert Campaneris;160;160
25,7;Normal;Normal;0-29;21;1;0.240 - 0.259;0.24;0,257;both;69.30;70;Andere;Andere;Andere;Biff Pocoroba;Biff Pocoroba;168;175
25,4;Normal;Normal;30-59;36;1;0.240 - 0.259;0.24;0,254;right;73.26;75;Andere;Andere;Andere;Bill Almon;Bill Almon;176;180
28,9;Top;Top;150-179;174;1;0.280 - 0.299;0.28;0,289;left;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bill Buckner;Bill Buckner;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;Bill Castro;Bill Castro;168;170
24,1;Normal;Normal;0-29;7;1;0.240 - 0.259;0.24;0,241;left;71.28;72;Andere;Andere;Andere;Bill Fahey;Bill Fahey;200;200
26,2;Normal;Top;180-209;200;1;0.260 - 0.279;0.26;0,262;right;73.26;75;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bill Freehan;Bill Freehan;200;203
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Bill Fulton;Bill Fulton;192;195
25,3;Normal;Top;150-179;160;1;0.240 - 0.259;0.24;0,253;right;73.26;74;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bill Melton;Bill Melton;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Bill Mooneyham;Bill Mooneyham;168;175
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Bill Moran;Bill Moran;208;210
24,1;Normal;Normal;0-29;25;1;0.240 - 0.259;0.24;0,241;right;73.26;74;Andere;Andere;Andere;Bill Nahorodny;Bill Nahorodny;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Bill Paschall;Bill Paschall;168;175
18,8;Normal;Normal;0-29;14;1;0.180 - 0.199;0.18;0,188;right;71.28;73;Andere;Andere;Andere;Bill Plummer;Bill Plummer;184;190
25,8;Normal;Top;150-179;166;1;0.240 - 0.259;0.24;0,258;right;73.26;74;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bill Robinson;Bill Robinson;184;189
26,3;Normal;Normal;30-59;46;1;0.260 - 0.279;0.26;0,263;right;71.28;72;Andere;Andere;Andere;Bill Russell;Bill Russell;168;175
27,2;Normal;Normal;30-59;46;1;0.260 - 0.279;0.26;0,272;right;67.32;69;Andere;Andere;Andere;Bill Sample;Bill Sample;168;175
24;Normal;Normal;60-89;61;1;0.240 - 0.259;0.24;0,24;right;73.26;74;Andere;Andere;Andere;Bill Schroeder;Bill Schroeder;200;200
25,5;Normal;Normal;0-29;9;1;0.240 - 0.259;0.24;0,255;left;69.30;70;Andere;Andere;Andere;Bill Sharp;Bill Sharp;176;178
26,7;Normal;Normal;30-59;44;1;0.260 - 0.279;0.26;0,267;right;69.30;70;Andere;Andere;Andere;Bill Stein;Bill Stein;168;170
23,4;Normal;Normal;30-59;59;1;0.220 - 0.239;0.22;0,234;both;71.28;73;Andere;Andere;Andere;Bill Sudakis;Bill Sudakis;184;190
22,7;Normal;Normal;0-29;19;1;0.220 - 0.239;0.22;0,227;left;73.26;74;Andere;Andere;Andere;Bill Voss;Bill Voss;160;160
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;70;Andere;Andere;Andere;Bill Wilkinson;Bill Wilkinson;160;160
21,6;Normal;Normal;30-59;41;1;0.200 - 0.219;0.20;0,216;left;75.24;76;Andere;Andere;Andere;Billy Bryan;Billy Bryan;200;200
25,6;Normal;Normal;30-59;40;1;0.240 - 0.259;0.24;0,256;right;71.28;72;Andere;Andere;Andere;Billy Conigliaro;Billy Conigliaro;176;180
23,6;Normal;Normal;30-59;40;1;0.220 - 0.239;0.22;0,236;right;71.28;72;Andere;Andere;Andere;Billy Cowan;Billy Cowan;168;170
23,6;Normal;Normal;0-29;28;1;0.220 - 0.239;0.22;0,236;right;69.30;70;Andere;Andere;Andere;Billy Grabarkewitz;Billy Grabarkewitz;160;165
26,1;Normal;Normal;0-29;20;1;0.260 - 0.279;0.26;0,261;both;69.30;71;Andere;Andere;Andere;Billy North;Billy North;184;185
23;Normal;Normal;0-29;17;1;0.220 - 0.239;0.22;0,23;both;73.26;74;Andere;Andere;Andere;Billy Smith;Billy Smith;184;185
25,5;Normal;Normal;60-89;87;1;0.240 - 0.259;0.24;0,255;right;69.30;71;Andere;Andere;Andere;Bo Diaz;Bo Diaz;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;77;Andere;Andere;Andere;Bob Babcock;Bob Babcock;208;210
25,7;Normal;Top;180-209;189;1;0.240 - 0.259;0.24;0,257;right;71.28;73;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bob Bailey;Bob Bailey;176;180
26,4;Normal;Normal;0-29;9;1;0.260 - 0.279;0.26;0,264;right;69.30;71;Andere;Andere;Andere;Bob Bailor;Bob Bailor;168;170
22,6;Normal;Normal;0-29;9;1;0.220 - 0.239;0.22;0,226;right;71.28;72;Andere;Andere;Andere;Bob Barton;Bob Barton;168;175
25,4;Normal;Normal;90-119;105;1;0.240 - 0.259;0.24;0,254;right;73.26;74;Andere;Andere;Andere;Bob Boone;Bob Boone;192;195
24,7;Normal;Normal;90-119;91;1;0.240 - 0.259;0.24;0,247;right;73.26;74;Andere;Andere;Andere;Bob Brenly;Bob Brenly;208;210
24,2;Normal;Normal;0-29;17;1;0.240 - 0.259;0.24;0,242;right;69.30;71;Andere;Andere;Andere;Bob Brower;Bob Brower;184;185
22,4;Normal;Normal;0-29;13;1;0.220 - 0.239;0.22;0,224;left;69.30;71;Andere;Andere;Andere;Bob Burda;Bob Burda;168;174
26,1;Normal;Normal;0-29;24;1;0.260 - 0.279;0.26;0,261;left;73.26;74;Andere;Andere;Andere;Bob Chance;Bob Chance;192;196
22;Normal;Normal;0-29;26;1;0.220 - 0.239;0.22;0,22;right;69.30;71;Andere;Andere;Andere;Bob Coluccio;Bob Coluccio;176;183
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Bob Davidson;Bob Davidson;184;185
19,7;Normal;Normal;0-29;6;1;0.180 - 0.199;0.18;0,197;right;71.28;72;Andere;Andere;Andere;Bob Davis;Bob Davis;176;180
25,5;Normal;Normal;0-29;23;1;0.240 - 0.259;0.24;0,255;right;71.28;72;Andere;Andere;Andere;Bob Dernier;Bob Dernier;160;160
22,9;Normal;Normal;0-29;0;1;0.220 - 0.239;0.22;0,229;both;71.28;72;Andere;Andere;Andere;Bob Didier;Bob Didier;184;190
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;73.26;75;Andere;Andere;Andere;Bob Fallon;Bob Fallon;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;77.22;78;Andere;Andere;Andere;Bob Ferris;Bob Ferris;224;225
21,3;Normal;Normal;0-29;12;1;0.200 - 0.219;0.20;0,213;right;75.24;76;Andere;Andere;Andere;Bob Forsch;Bob Forsch;200;200
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;71.28;73;Andere;Andere;Andere;Bob Galasso;Bob Galasso;200;205
24,7;Normal;Normal;0-29;1;1;0.240 - 0.259;0.24;0,247;right;71.28;72;Andere;Andere;Andere;Bob Heise;Bob Heise;168;175
27,7;Top;Top;210-239;218;1;0.260 - 0.279;0.26;0,277;right;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bob Horner;Bob Horner;192;195
27,2;Normal;Normal;30-59;44;1;0.260 - 0.279;0.26;0,272;right;69.30;70;Andere;Andere;Andere;Bob Johnson;Bob Johnson;168;175
22,1;Normal;Normal;0-29;20;1;0.220 - 0.239;0.22;0,221;left;73.26;74;Andere;Andere;Andere;Bob Jones;Bob Jones;192;195
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Bob Kammeyer;Bob Kammeyer;208;210
23,3;Normal;Normal;0-29;27;1;0.220 - 0.239;0.22;0,233;right;71.28;72;Andere;Andere;Andere;Bob Kearney;Bob Kearney;184;190
13,7;Normal;Normal;0-29;6;1;0.120 - 0.139;0.12;0,137;left;73.26;75;Andere;Andere;Andere;Bob Knepper;Bob Knepper;192;195
23,6;Normal;Normal;0-29;8;1;0.220 - 0.239;0.22;0,236;both;71.28;73;Andere;Andere;Andere;Bob Meacham;Bob Meacham;168;175
26,4;Normal;Normal;0-29;14;1;0.260 - 0.279;0.26;0,264;left;71.28;72;Andere;Andere;Andere;Bob Molinaro;Bob Molinaro;184;190
25,8;Normal;Normal;0-29;23;1;0.240 - 0.259;0.24;0,258;right;71.28;73;Andere;Andere;Andere;Bob Montgomery;Bob Montgomery;192;195
25,6;Normal;Normal;90-119;94;1;0.240 - 0.259;0.24;0,256;right;73.26;75;Andere;Andere;Andere;Bob Oliver;Bob Oliver;200;205
25,7;Normal;Normal;0-29;1;1;0.240 - 0.259;0.24;0,257;right;73.26;74;Andere;Andere;Andere;Bob Randall;Bob Randall;168;175
24,2;Normal;Normal;90-119;115;1;0.240 - 0.259;0.24;0,242;right;71.28;73;Andere;Andere;Andere;Bob Robertson;Bob Robertson;192;195
25;Normal;Normal;30-59;33;1;0.240 - 0.259;0.24;0,25;both;69.30;71;Andere;Andere;Andere;Bob Stinson;Bob Stinson;176;180
23,2;Normal;Normal;60-89;79;1;0.220 - 0.239;0.22;0,232;right;75.24;76;Andere;Andere;Andere;Bob Tillman;Bob Tillman;200;205
20;Normal;Normal;0-29;14;1;0.200 - 0.219;0.20;0,2;right;71.28;73;Andere;Andere;Andere;Bob Uecker;Bob Uecker;184;190
11,4;Normal;Normal;0-29;0;1;0.100 - 0.119;0.10;0,114;both;77.22;78;Andere;Andere;Andere;Bob Veale;Bob Veale;208;212
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;72;Andere;Andere;Andere;Bob Veselic;Bob Veselic;168;175
29,5;Top;Top;180-209;184;1;0.280 - 0.299;0.28;0,295;right;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bob Watson;Bob Watson;200;201
26,8;Normal;Top;330-359;332;1;0.260 - 0.279;0.26;0,268;right;71.28;73;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bobby Bonds;Bobby Bonds;184;190
24,5;Normal;Normal;0-29;26;1;0.240 - 0.259;0.24;0,245;both;73.26;74;Andere;Andere;Andere;Bobby Brown;Bobby Brown;184;190
23,9;Normal;Normal;0-29;19;1;0.220 - 0.239;0.22;0,239;right;71.28;72;Andere;Andere;Andere;Bobby Clark;Bobby Clark;184;190
22,5;Normal;Normal;0-29;9;1;0.220 - 0.239;0.22;0,225;right;69.30;71;Andere;Andere;Andere;Bobby Cox;Bobby Cox;176;180
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;69.30;71;Andere;Andere;Andere;Bobby Cuellar;Bobby Cuellar;184;188
25,1;Normal;Normal;60-89;83;1;0.240 - 0.259;0.24;0,251;right;73.26;74;Andere;Andere;Andere;Bobby Darwin;Bobby Darwin;184;190
26,6;Normal;Top;210-239;224;1;0.260 - 0.279;0.26;0,266;right;73.26;74;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bobby Grich;Bobby Grich;176;180
20,8;Normal;Normal;0-29;6;1;0.200 - 0.219;0.20;0,208;right;69.30;70;Andere;Andere;Andere;Bobby Klaus;Bobby Klaus;168;170
23,6;Normal;Normal;30-59;56;1;0.220 - 0.239;0.22;0,236;right;71.28;73;Andere;Andere;Andere;Bobby Knoop;Bobby Knoop;168;170
24,3;Normal;Normal;0-29;3;1;0.240 - 0.259;0.24;0,243;left;69.30;70;Andere;Andere;Andere;Bobby Mitchell;Bobby Mitchell;168;170
23,5;Normal;Normal;0-29;21;1;0.220 - 0.239;0.22;0,235;right;73.26;75;Andere;Andere;Andere;Bobby Mitchell;Bobby Mitchell;184;185
27,7;Top;Top;240-269;252;1;0.260 - 0.279;0.26;0,277;left;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Bobby Murcer;Bobby Murcer;160;160
26,5;Normal;Normal;60-89;86;1;0.260 - 0.279;0.26;0,265;left;69.30;71;Andere;Andere;Andere;Bobby Tolan;Bobby Tolan;168;170
26;Normal;Normal;0-29;12;1;0.260 - 0.279;0.26;0,26;right;69.30;70;Andere;Andere;Andere;Bobby Valentine;Bobby Valentine;184;189
21,5;Normal;Normal;30-59;30;1;0.200 - 0.219;0.20;0,215;right;71.28;73;Andere;Andere;Andere;Bobby Wine;Bobby Wine;184;187
26,5;Normal;Normal;0-29;10;1;0.260 - 0.279;0.26;0,265;right;69.30;70;Andere;Andere;Andere;Bombo Rivera;Bombo Rivera;184;187
26,6;Normal;Top;330-359;339;1;0.260 - 0.279;0.26;0,266;left;75.24;76;Andere;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Boog Powell;Boog Powell;224;230
25,6;Normal;Normal;0-29;8;1;0.240 - 0.259;0.24;0,256;left;67.32;69;Andere;Andere;Andere;Boots Day;Boots Day;160;160
23,1;Normal;Normal;0-29;6;1;0.220 - 0.239;0.22;0,231;right;71.28;72;Andere;Andere;Andere;Brad Wellman;Brad Wellman;168;170
24,7;Normal;Normal;30-59;38;1;0.240 - 0.259;0.24;0,247;right;73.26;75;Andere;Andere;Andere;Brant Alyea;Brant Alyea;208;215
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;71.28;73;Andere;Andere;Andere;Brian Allard;Brian Allard;168;175
25,4;Normal;Normal;0-29;12;1;0.240 - 0.259;0.24;0,254;left;71.28;73;Andere;Andere;Andere;Brian Asselstine;Brian Asselstine;168;175
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Brian Denman;Brian Denman;200;205
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;69.30;70;Andere;Andere;Andere;Brian Dubois;Brian Dubois;160;165
22,8;Normal;Normal;0-29;10;1;0.220 - 0.239;0.22;0,228;right;71.28;73;Andere;Andere;Andere;Brian Giles;Brian Giles;160;165
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;73.26;75;Andere;Andere;Andere;Brian Snyder;Brian Snyder;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;75.24;77;Andere;Andere;Andere;Britt Burns;Britt Burns;208;215
26;Normal;Normal;0-29;1;1;0.260 - 0.279;0.26;0,26;left;69.30;70;Andere;Andere;Andere;Brock Davis;Brock Davis;160;160
27,1;Normal;Normal;0-29;8;1;0.260 - 0.279;0.26;0,271;left;69.30;70;Andere;Andere;Andere;Broderick Perkins;Broderick Perkins;176;180
24,2;Normal;Normal;0-29;18;1;0.240 - 0.259;0.24;0,242;right;71.28;73;Andere;Andere;Andere;Bruce Benedict;Bruce Benedict;168;175
28,2;Top;Normal;90-119;100;1;0.280 - 0.299;0.28;0,282;left;73.26;75;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Bruce Bochte;Bruce Bochte;192;195
23,9;Normal;Normal;0-29;26;1;0.220 - 0.239;0.22;0,239;right;73.26;75;Andere;Andere;Andere;Bruce Bochy;Bruce Bochy;200;205
26,3;Normal;Normal;0-29;10;1;0.260 - 0.279;0.26;0,263;left;73.26;74;Andere;Andere;Andere;Bruce Boisclair;Bruce Boisclair;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;71.28;72;Andere;Andere;Andere;Bruce Ellingsen;Bruce Ellingsen;176;180
24,6;Normal;Normal;0-29;1;1;0.240 - 0.259;0.24;0,246;right;71.28;73;Andere;Andere;Andere;Bruce Miller;Bruce Miller;184;185
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;left;71.28;73;Andere;Andere;Andere;Bruce Robbins;Bruce Robbins;184;190
